,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
67,Tyler Boyd,CIN,WR,25,16,15,0,0,0,0,4,23,148,90,1046,11.62,2,2,0,0,0,23,0,4,1046,5,222.9
68,Matt Ryan,ATL,QB,34,15,15,408,616,4466,14,34,147,0,0,0,0,9,5,4466,26,616,147,1,34,0,0,265.34
69,Deebo Samuel,SFO,WR,23,15,11,0,0,0,0,14,159,81,57,802,14.07,2,1,0,0,0,159,3,14,802,3,187.1
70,Marvin Jones,DET,WR,29,13,11,0,0,0,0,2,0,91,62,779,12.56,0,0,0,0,0,0,0,2,779,9,193.9
71,Carlos Hyde,HOU,RB,29,16,14,0,0,0,0,245,1070,16,10,42,4.2,4,2,0,0,0,1070,6,245,42,0,153.2
72,Tyreek Hill,KAN,WR,25,12,12,0,0,0,0,8,23,89,58,860,14.83,0,0,0,0,0,23,0,8,860,7,188.3
73,Davante Adams,GNB,WR,27,12,12,0,0,0,0,0,0,127,83,997,12.01,2,1,0,0,0,0,0,0,997,5,210.7
74,Sony Michel,NWE,RB,24,16,14,0,0,0,0,247,912,20,12,94,7.83,2,1,0,0,0,912,7,247,94,0,152.6
75,Tom Brady,NWE,QB,42,16,16,373,613,4057,8,26,34,0,0,0,0,4,1,4057,24,613,34,3,26,0,0,261.68
76,Jason Witten,DAL,TE,37,16,16,0,0,0,0,0,0,83,63,529,8.4,1,1,0,0,0,0,0,0,529,4,137.9
77,Michael Burton,WAS,0,27,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Jared Goff,LAR,QB,25,16,16,394,626,4638,16,33,40,0,0,0,0,10,5,4638,22,626,40,2,33,0,0,247.52
79,Jimmy Garoppolo,SFO,QB,28,16,16,329,476,3978,13,46,62,0,0,0,0,10,5,3978,27,476,62,1,46,0,0,243.32
80,Derek Carr,OAK,QB,28,16,16,361,513,4054,8,27,82,0,0,0,0,7,3,4054,21,513,82,2,27,0,0,244.36
